carat,cut,color,clarity,depth,table,price,x,y,z
0.39,Good,F,SI1,63.6,58.0,921,4.65,4.6,2.94
0.39,Very Good,F,SI1,63.3,54.0,921,4.67,4.62,2.94
0.39,Ideal,F,SI1,62.5,55.0,921,4.68,4.63,2.91
0.43,Very Good,E,SI1,63.4,56.0,921,4.79,4.77,3.03
0.39,Premium,J,VVS1,61.8,56.0,921,4.71,4.64,2.89
0.39,Very Good,H,VS2,63.1,58.0,921,4.66,4.63,2.93
0.35,Ideal,E,VS1,61.5,57.0,921,4.55,4.52,2.79
0.35,Premium,E,VS1,62.2,58.0,921,4.5,4.47,2.79
0.39,Very Good,I,VS1,63.1,58.0,921,4.68,4.61,2.93
0.39,Premium,J,VVS1,62.5,58.0,921,4.67,4.61,2.9
0.39,Premium,J,VVS1,62.8,58.0,921,4.66,4.61,2.91
0.33,Fair,H,VVS2,65.1,59.0,922,4.4,4.32,2.84
0.53,Very Good,I,SI1,59.7,63.0,923,5.22,5.3,3.14
0.35,Ideal,E,VS2,61.9,54.0,923,4.53,4.58,2.82
0.35,Ideal,G,VS1,61.1,56.0,923,4.55,4.58,2.79
0.35,Ideal,F,VS1,61.4,55.0,923,4.54,4.58,2.8
0.45,Ideal,H,SI1,61.6,56.0,923,4.94,4.96,3.05
0.36,Good,E,VVS1,58.2,56.0,923,4.68,4.74,2.74
0.53,Good,I,SI1,65.5,59.0,923,5.01,5.06,3.3
0.41,Premium,G,SI1,59.1,58.0,923,4.88,4.83,2.87
0.41,Premium,G,SI1,62.5,58.0,923,4.78,4.75,2.98
0.41,Premium,G,SI1,62.5,57.0,923,4.72,4.69,2.94
0.41,Premium,G,SI1,61.7,59.0,923,4.73,4.71,2.91
0.41,Premium,G,SI1,60.3,59.0,923,4.79,4.76,2.88
0.41,Premium,G,SI1,60.3,60.0,923,4.8,4.76,2.88
0.41,Premium,G,SI1,61.3,58.0,923,4.8,4.76,2.93
0.41,Premium,G,SI1,62.7,55.0,923,4.8,4.77,3.0
0.41,Ideal,G,SI1,62.6,54.0,923,4.78,4.74,2.98
0.41,Premium,G,SI1,61.5,59.0,923,4.78,4.75,2.93
0.41,Premium,G,SI1,61.3,60.0,923,4.81,4.75,2.93
0.41,Premium,G,SI1,61.4,60.0,923,4.82,4.75,2.94
0.41,Premium,G,SI1,62.6,59.0,923,4.77,4.72,2.97
0.41,Premium,G,SI1,62.7,58.0,923,4.74,4.7,2.96
0.41,Ideal,G,SI1,62.9,56.0,923,4.75,4.7,2.97
0.45,Fair,F,VS2,67.0,56.0,923,4.77,4.7,3.17
0.34,Ideal,D,VS2,62.1,55.0,923,4.49,4.46,2.78
0.34,Very Good,G,IF,61.0,56.0,924,4.5,4.54,2.76
0.31,Ideal,G,IF,62.7,57.0,924,4.31,4.34,2.71
0.31,Ideal,E,VVS1,61.8,56.0,924,4.34,4.36,2.69
0.31,Premium,E,VVS1,61.3,58.0,924,4.36,4.39,2.68
0.31,Very Good,G,IF,61.6,55.0,924,4.38,4.42,2.71
0.31,Ideal,G,IF,61.7,56.0,924,4.34,4.38,2.69
0.31,Ideal,E,VVS1,61.0,57.0,924,4.33,4.36,2.65
0.31,Premium,G,IF,61.4,59.0,924,4.34,4.39,2.68
0.31,Ideal,E,VVS1,61.7,56.0,924,4.33,4.36,2.68
0.31,Good,G,IF,63.9,58.0,924,4.27,4.3,2.74
0.31,Ideal,G,IF,61.9,56.0,924,4.36,4.39,2.71
0.31,Premium,G,IF,61.0,59.0,924,4.33,4.36,2.65
0.31,Very Good,G,IF,61.7,54.0,924,4.33,4.36,2.68
0.31,Ideal,G,IF,61.0,56.0,924,4.37,4.39,2.67
0.31,Ideal,G,IF,62.6,57.0,924,4.3,4.32,2.7
0.31,Ideal,G,IF,61.0,56.0,924,4.37,4.38,2.67
0.31,Premium,E,VVS1,61.5,58.0,924,4.35,4.37,2.68
0.31,Ideal,G,IF,61.6,55.0,924,4.34,4.39,2.69
0.32,Ideal,D,VVS1,62.1,54.0,924,4.4,4.43,2.74
0.38,Ideal,E,VS1,61.8,54.7,924,4.66,4.68,2.89
0.38,Ideal,E,VS1,61.6,56.0,924,4.65,4.7,2.88
0.52,Ideal,J,SI2,61.6,55.0,924,5.16,5.19,3.19
0.4,Premium,D,SI1,60.3,62.0,924,4.75,4.7,2.85
0.4,Very Good,D,SI1,63.3,57.0,924,4.71,4.68,2.97
0.4,Very Good,D,SI1,63.1,57.0,924,4.73,4.69,2.97
0.4,Ideal,D,SI1,63.0,57.0,924,4.7,4.66,2.95
0.4,Premium,D,SI1,63.0,57.0,924,4.7,4.66,2.95
0.4,Good,D,SI1,63.6,57.0,924,4.7,4.67,2.98
0.4,Very Good,D,SI1,63.1,61.0,924,4.71,4.67,2.96
0.4,Very Good,D,SI1,63.5,55.0,924,4.72,4.67,2.98
0.4,Premium,D,SI1,62.5,61.0,924,4.69,4.66,2.92
0.4,Very Good,G,VVS2,61.6,58.0,925,4.73,4.78,2.93
0.4,Very Good,E,VS2,64.0,52.0,925,4.66,4.69,2.99
0.37,Very Good,E,VS1,62.0,56.0,925,4.59,4.63,2.86
0.37,Very Good,E,VS1,60.2,56.0,925,4.68,4.71,2.83
0.5,Good,D,SI2,63.7,60.0,925,5.09,5.02,3.22
0.33,Ideal,G,IF,61.0,56.0,925,4.48,4.51,2.74
0.33,Ideal,G,IF,61.0,57.0,925,4.45,4.48,2.72
0.33,Ideal,G,IF,61.9,56.0,925,4.43,4.47,2.75
0.32,Ideal,F,VVS1,62.3,56.0,926,4.35,4.38,2.72
0.32,Premium,D,VVS2,61.5,60.0,926,4.37,4.41,2.7
0.32,Ideal,F,VVS1,61.8,55.0,926,4.36,4.41,2.71
0.44,Premium,I,VVS1,62.5,60.0,926,4.82,4.87,3.03
0.44,Premium,I,VVS1,61.5,58.0,926,4.87,4.95,3.02
0.44,Premium,F,VS2,62.2,58.0,926,4.83,4.88,3.02
0.32,Very Good,F,VVS1,61.9,59.0,926,4.34,4.39,2.7
0.32,Very Good,F,VVS1,62.7,60.0,926,4.32,4.35,2.72
0.32,Ideal,F,VVS1,61.8,56.0,926,4.42,4.45,2.74
0.5,Good,F,SI2,57.7,62.0,926,5.22,5.18,3.0
0.39,Very Good,H,VVS1,61.5,56.0,926,4.7,4.73,2.9
0.32,Ideal,F,VVS1,61.7,56.0,926,4.4,4.42,2.72
0.32,Ideal,F,VVS1,62.1,56.0,926,4.39,4.43,2.74
0.32,Premium,F,VVS1,61.3,58.0,926,4.37,4.4,2.69
0.32,Ideal,F,VVS1,61.4,56.0,926,4.38,4.42,2.7
0.44,Very Good,I,VVS1,60.8,57.0,926,4.88,4.93,2.98
0.4,Ideal,E,VVS2,62.5,54.0,926,4.75,4.76,2.97
0.4,Ideal,H,VS2,61.4,57.0,926,4.72,4.79,2.92
0.4,Ideal,G,SI2,62.1,55.0,926,4.73,4.74,2.94
0.37,Ideal,G,IF,60.5,56.0,926,4.66,4.7,2.83
0.42,Premium,F,SI1,60.6,61.0,926,4.87,4.83,2.94
0.42,Very Good,F,SI1,63.4,56.0,926,4.78,4.75,3.02
0.42,Very Good,F,SI1,63.3,56.0,926,4.79,4.75,3.02
0.42,Very Good,F,SI1,63.4,56.0,926,4.8,4.76,3.03
0.42,Very Good,F,SI1,63.1,56.0,926,4.82,4.79,3.03
0.42,Good,F,SI1,63.6,57.0,926,4.76,4.7,3.01
0.42,Premium,E,SI1,59.8,61.0,926,4.89,4.85,2.91
0.42,Premium,E,SI1,60.0,58.0,926,4.89,4.85,2.92
0.42,Premium,E,SI1,62.0,58.0,926,4.85,4.82,3.0
0.42,Premium,E,SI1,61.5,61.0,926,4.87,4.82,2.98
0.42,Premium,E,SI1,61.5,58.0,926,4.84,4.78,2.96
0.4,Very Good,F,SI1,59.6,61.0,927,4.79,4.84,2.87
0.46,Very Good,D,SI1,62.2,58.0,927,4.92,4.98,3.08
0.45,Very Good,D,SI1,61.0,59.0,927,4.94,5.0,3.03
0.48,Ideal,H,SI1,61.2,56.0,927,5.06,5.1,3.11
0.33,Premium,G,VVS2,61.3,59.0,927,4.45,4.42,2.72
0.36,Ideal,E,VVS2,61.8,54.0,928,4.6,4.62,2.85
0.36,Ideal,D,VS2,61.3,55.0,928,4.58,4.62,2.82
0.36,Ideal,D,VS2,61.1,57.0,928,4.6,4.63,2.82
0.33,Ideal,E,VS2,60.3,57.0,928,4.54,4.51,2.73
0.33,Ideal,E,VS2,61.1,56.0,928,4.48,4.45,2.73
0.33,Ideal,F,VS1,61.2,56.0,928,4.49,4.46,2.74
0.33,Ideal,E,VS2,62.8,56.0,928,4.45,4.41,2.78
0.34,Premium,F,VVS2,59.6,60.0,928,4.59,4.54,2.72
0.33,Ideal,E,VS2,60.6,55.0,928,4.5,4.48,2.72
0.33,Ideal,E,VS2,60.5,56.0,928,4.51,4.48,2.72
0.33,Premium,E,VS2,61.1,59.0,928,4.49,4.45,2.73
0.33,Ideal,E,VS2,62.3,56.0,928,4.47,4.46,2.78
0.33,Ideal,E,VS2,61.3,55.0,928,4.48,4.46,2.74
0.33,Ideal,E,VS2,62.0,56.0,928,4.48,4.46,2.77
0.33,Premium,E,VS2,60.7,58.0,928,4.49,4.47,2.72
0.33,Premium,E,VS2,60.6,60.0,928,4.48,4.43,2.7
0.33,Ideal,E,VS2,61.6,57.0,928,4.46,4.44,2.74
0.33,Ideal,E,VS2,60.8,57.0,928,4.47,4.45,2.71
0.33,Ideal,E,VS2,61.2,56.0,928,4.47,4.45,2.73
0.33,Ideal,E,VS2,61.8,55.0,928,4.48,4.45,2.76
0.33,Ideal,E,VS2,61.0,57.0,928,4.46,4.43,2.71
0.33,Premium,E,VS2,61.0,60.0,928,4.46,4.43,2.71
0.33,Ideal,E,VS2,61.9,56.0,928,4.46,4.43,2.75
0.33,Ideal,E,VS2,62.1,56.0,928,4.46,4.43,2.76
0.33,Ideal,E,VS2,62.3,55.0,928,4.46,4.43,2.77
0.33,Premium,E,VS2,61.0,60.0,928,4.47,4.42,2.71
0.33,Ideal,E,VS2,61.9,54.0,928,4.47,4.42,2.75
0.33,Ideal,E,VS2,61.9,56.0,928,4.45,4.4,2.74
0.33,Ideal,E,VS2,62.1,56.0,928,4.45,4.4,2.75
0.33,Premium,E,VS2,61.5,59.0,928,4.46,4.42,2.73
0.33,Ideal,E,VS2,61.5,57.0,928,4.47,4.41,2.73
0.33,Ideal,E,VS2,62.1,57.0,928,4.44,4.41,2.75
0.33,Ideal,E,VS2,62.4,55.0,928,4.42,4.4,2.75
0.33,Ideal,E,VS2,62.3,57.0,928,4.43,4.4,2.75
0.33,Premium,E,VS2,61.7,60.0,928,4.45,4.4,2.73
0.33,Ideal,E,VS2,62.3,57.0,928,4.43,4.37,2.74
0.33,Premium,E,VS2,62.0,59.0,928,4.41,4.39,2.73
0.33,Ideal,E,VS2,62.6,57.0,928,4.42,4.37,2.75
0.43,Ideal,I,VVS2,60.9,57.0,929,4.85,4.9,2.97
0.57,Very Good,G,I1,59.5,56.9,929,5.42,5.46,3.24
0.38,Ideal,G,VVS2,61.5,55.2,929,4.67,4.71,2.89
0.38,Ideal,G,VVS2,61.9,55.6,929,4.64,4.67,2.88
0.38,Ideal,G,VVS2,62.2,54.3,929,4.63,4.66,2.89
0.38,Ideal,G,VVS2,62.3,53.6,929,4.65,4.67,2.9
0.38,Ideal,G,VVS2,61.3,56.4,929,4.67,4.71,2.88
0.38,Ideal,D,VS2,63.0,54.0,929,4.61,4.66,2.92
0.38,Ideal,F,VS1,61.4,57.0,929,4.65,4.67,2.86
0.32,Ideal,F,IF,61.3,57.0,929,4.4,4.44,2.71
0.32,Ideal,F,IF,60.9,57.0,929,4.4,4.44,2.69
0.32,Ideal,F,IF,61.7,55.0,929,4.4,4.42,2.72
0.32,Ideal,F,IF,60.3,58.0,929,4.45,4.5,2.7
0.32,Ideal,F,IF,61.9,54.0,929,4.43,4.46,2.75
0.32,Ideal,F,IF,61.6,56.0,929,4.43,4.47,2.74
0.4,Good,F,VS2,62.0,61.3,929,4.69,4.72,2.91
0.43,Premium,G,SI1,62.6,59.0,929,4.82,4.8,3.01
0.51,Very Good,J,SI1,62.6,59.0,930,5.06,5.1,3.18
0.3,Very Good,E,IF,62.8,54.0,930,4.3,4.33,2.71
0.52,Ideal,J,SI1,62.0,54.0,930,5.15,5.18,3.2
0.46,Ideal,G,SI1,62.0,53.0,930,4.99,5.04,3.11
0.45,Ideal,F,SI1,60.8,56.0,930,4.97,4.93,3.01
0.41,Ideal,I,IF,61.8,55.0,930,4.77,4.81,2.96
0.41,Premium,E,SI1,60.4,58.0,930,4.79,4.75,2.88
0.41,Premium,E,SI1,61.0,61.0,930,4.77,4.74,2.9
0.31,Premium,E,VS2,60.8,55.0,930,4.42,4.39,2.68
0.31,Premium,E,VS1,58.9,59.0,930,4.5,4.47,2.64
0.32,Very Good,E,VVS1,60.9,58.0,931,4.49,4.45,2.72
0.43,Very Good,D,VS2,59.1,58.0,931,4.92,4.96,2.92
0.41,Very Good,F,VS1,63.0,57.0,931,4.66,4.7,2.95
0.41,Very Good,E,VS1,62.9,56.0,931,4.72,4.78,2.99
0.47,Premium,G,SI1,62.7,58.0,931,4.97,4.99,3.12
0.61,Good,G,I1,61.2,57.2,931,5.44,5.49,3.34
0.4,Ideal,G,VVS2,61.9,55.0,931,4.72,4.75,2.93
0.4,Ideal,G,VVS2,62.6,57.0,931,4.68,4.75,2.95
0.4,Ideal,G,VVS2,62.3,54.0,931,4.75,4.78,2.97
0.4,Ideal,G,VVS2,61.6,56.0,931,4.76,4.79,2.94
0.37,Ideal,F,VVS1,61.5,56.0,931,4.59,4.61,2.83
0.4,Ideal,E,VS1,60.1,57.0,931,4.77,4.82,2.88
0.47,Ideal,E,SI2,61.5,55.0,931,4.98,5.04,3.08
0.42,Ideal,F,SI1,61.5,55.0,931,4.82,4.84,2.97
0.42,Ideal,E,SI1,61.8,56.0,931,4.8,4.84,2.98
0.35,Ideal,H,IF,60.8,56.0,931,4.61,4.63,2.81
0.43,Good,F,VS1,57.9,61.0,931,4.99,5.03,2.9
0.31,Ideal,G,VVS2,62.0,56.0,931,4.35,4.33,2.69
0.41,Very Good,G,VVS2,61.1,55.0,932,4.8,4.82,2.94
0.41,Very Good,G,VVS2,61.9,54.0,932,4.77,4.82,2.96
0.41,Very Good,D,VS2,62.3,58.0,932,4.75,4.76,2.96
0.33,Ideal,F,VVS1,61.4,57.0,932,4.49,4.47,2.75
0.36,Premium,F,VS2,60.5,59.0,932,4.64,4.61,2.8
0.36,Ideal,H,VVS2,62.3,57.0,932,4.57,4.52,2.83
0.36,Premium,H,VVS2,60.6,58.0,932,4.6,4.58,2.78
0.36,Ideal,G,VS1,62.9,57.0,932,4.6,4.56,2.88
0.36,Premium,G,VS1,59.7,56.0,932,4.67,4.64,2.78
0.36,Premium,G,VS1,61.7,59.0,932,4.59,4.55,2.82
0.36,Premium,G,VS1,61.2,60.0,932,4.59,4.56,2.8
0.36,Ideal,G,VS1,61.6,56.0,932,4.59,4.56,2.82
0.36,Premium,G,VS1,62.3,59.0,932,4.55,4.5,2.82
0.36,Premium,G,VS1,62.2,59.0,932,4.57,4.53,2.83
0.36,Ideal,F,VS2,60.9,57.0,932,4.61,4.58,2.8
0.36,Ideal,F,VS2,62.0,55.0,932,4.58,4.55,2.83
0.36,Premium,F,VS2,61.4,58.0,932,4.6,4.56,2.81
0.36,Premium,F,VS2,60.5,60.0,932,4.61,4.55,2.77
0.36,Premium,D,VS2,60.3,58.0,933,4.66,4.63,2.8
0.36,Ideal,D,VS2,60.0,56.0,933,4.68,4.66,2.8
0.36,Ideal,E,VS1,62.7,57.0,933,4.58,4.55,2.86
0.36,Premium,E,VS1,61.5,59.0,933,4.6,4.57,2.82
0.33,Very Good,D,VVS2,59.5,56.0,933,4.51,4.56,2.7
0.38,Premium,F,VS1,60.9,58.0,933,4.68,4.71,2.86
0.38,Very Good,F,VS1,62.8,56.0,933,4.59,4.64,2.9
0.38,Very Good,D,VS2,60.9,58.0,933,4.63,4.67,2.83
0.38,Ideal,F,VS1,62.4,54.0,933,4.64,4.68,2.91
0.38,Very Good,D,VS2,61.6,59.0,933,4.62,4.66,2.86
0.38,Premium,F,VS1,62.4,59.0,933,4.57,4.63,2.87
0.38,Ideal,D,VS2,62.0,56.0,933,4.64,4.68,2.89
0.42,Ideal,G,VVS2,60.6,56.0,933,4.86,4.88,2.95
0.3,Ideal,D,VVS1,61.8,55.0,933,4.33,4.35,2.68
0.38,Ideal,E,VS1,60.7,56.0,933,4.7,4.72,2.86
0.33,Premium,D,VS1,60.3,61.0,933,4.51,4.48,2.71
0.62,Premium,G,I1,58.9,60.0,933,5.65,5.54,3.29
0.32,Ideal,D,VS1,60.2,57.0,933,4.45,4.42,2.67
0.31,Ideal,D,VVS1,62.1,54.0,934,4.34,4.36,2.7
0.46,Ideal,G,SI1,62.2,53.4,934,4.95,4.98,3.09
0.47,Very Good,I,VS2,63.2,56.0,935,4.92,4.98,3.13
0.54,Ideal,I,SI2,60.9,57.0,935,5.26,5.31,3.22
0.41,Premium,E,VS2,62.1,58.0,935,4.75,4.78,2.96
0.41,Ideal,E,VS2,61.8,56.0,935,4.74,4.78,2.94
0.41,Ideal,E,VS2,61.8,57.0,935,4.76,4.78,2.95
0.41,Ideal,E,VS2,61.6,55.0,935,4.75,4.79,2.94
0.41,Ideal,E,VS2,62.4,54.0,935,4.76,4.79,2.98
0.41,Ideal,E,VS2,62.5,55.0,935,4.74,4.77,2.97
0.41,Ideal,E,VS2,62.0,56.0,935,4.72,4.79,2.95
0.41,Ideal,E,VS2,62.1,57.0,935,4.74,4.79,2.96
0.41,Premium,E,VS2,59.8,60.0,935,4.83,4.87,2.9
0.41,Good,E,VS1,63.5,54.0,935,4.71,4.74,3.0
0.41,Ideal,E,VS2,61.8,54.0,935,4.76,4.79,2.95
0.41,Ideal,E,VS2,62.3,56.0,935,4.74,4.77,2.96
0.41,Premium,E,VS2,61.3,58.0,935,4.74,4.79,2.92
0.41,Ideal,E,VS2,62.1,56.0,935,4.74,4.76,2.95
0.34,Ideal,F,VVS1,62.9,56.0,935,4.45,4.48,2.81
0.46,Ideal,E,SI2,61.3,55.0,935,4.98,5.0,3.06
0.43,Ideal,G,SI2,61.3,56.0,935,4.89,4.87,2.99
0.37,Ideal,G,VVS1,61.4,55.0,936,4.67,4.71,2.88
0.31,Ideal,E,VVS1,62.3,57.0,936,4.32,4.35,2.7
0.44,Ideal,E,VS2,61.6,54.0,936,4.9,4.97,3.04
0.37,Ideal,H,IF,61.4,55.0,936,4.63,4.66,2.85
0.37,Ideal,H,IF,61.8,55.0,936,4.65,4.67,2.88
0.37,Ideal,H,IF,61.7,53.0,936,4.66,4.68,2.88
0.4,Good,F,VVS2,62.2,63.0,936,4.66,4.69,2.91
0.3,Ideal,E,VS1,61.6,57.0,936,4.33,4.3,2.66
0.32,Ideal,G,VVS2,61.9,57.0,936,4.41,4.38,2.72
0.45,Premium,F,SI2,61.5,61.0,936,4.95,4.9,3.03
0.3,Ideal,G,SI1,62.0,53.0,477,4.33,4.38,2.7
0.3,Ideal,G,SI1,62.3,56.0,477,4.29,4.31,2.68
0.3,Ideal,G,SI1,61.4,57.0,477,4.28,4.32,2.64
0.3,Ideal,G,SI1,62.2,54.0,477,4.32,4.36,2.7
0.3,Ideal,G,SI1,62.2,57.0,477,4.26,4.29,2.66
0.3,Ideal,G,SI1,62.0,58.0,477,4.27,4.29,2.65
0.3,Ideal,G,SI1,62.3,56.0,477,4.27,4.3,2.67
0.3,Ideal,G,SI1,62.3,57.0,477,4.29,4.31,2.68
0.34,Very Good,E,SI2,62.9,56.0,477,4.45,4.48,2.81
0.32,Good,D,SI2,63.7,56.0,477,4.33,4.34,2.76
0.32,Good,G,SI1,63.5,56.0,477,4.35,4.38,2.77
0.32,Premium,G,SI1,61.6,58.0,477,4.36,4.4,2.7
0.34,Premium,E,SI2,61.5,58.0,477,4.49,4.52,2.77
0.32,Ideal,D,SI2,62.4,54.0,477,4.38,4.4,2.74
0.34,Ideal,E,SI2,62.0,56.0,477,4.45,4.48,2.77
0.34,Good,E,SI2,63.7,55.0,477,4.43,4.46,2.83
0.34,Very Good,E,SI2,61.7,61.0,477,4.47,4.51,2.77
0.32,Premium,G,SI1,62.6,58.0,477,4.35,4.37,2.73
0.34,Premium,I,VS2,61.8,58.0,477,4.48,4.51,2.78
0.32,Ideal,G,SI1,61.3,57.0,477,4.37,4.4,2.69
0.32,Very Good,G,SI1,60.9,56.0,477,4.41,4.45,2.7
0.32,Good,D,SI2,63.9,58.0,477,4.31,4.33,2.76
0.32,Very Good,G,SI1,62.0,55.0,477,4.41,4.43,2.74
0.32,Ideal,D,SI2,61.1,56.0,477,4.39,4.41,2.69
0.34,Very Good,I,VS2,62.1,57.0,477,4.44,4.48,2.77
0.34,Premium,H,SI1,62.1,59.0,477,4.46,4.5,2.78
0.32,Very Good,D,SI2,62.8,57.0,477,4.35,4.38,2.74
0.34,Premium,H,SI1,60.2,58.0,477,4.48,4.52,2.71
0.34,Premium,E,SI2,61.7,58.0,477,4.5,4.54,2.79
0.32,Very Good,G,SI1,60.9,58.0,477,4.39,4.44,2.69
0.32,Ideal,H,VVS1,60.4,57.0,936,4.46,4.42,2.68
0.32,Ideal,H,VVS1,62.2,56.0,936,4.38,4.37,2.72
0.32,Premium,H,VVS1,61.5,59.0,936,4.41,4.37,2.7
0.32,Premium,H,VVS1,61.4,58.0,936,4.42,4.37,2.7
0.32,Premium,H,VVS1,61.4,58.0,936,4.41,4.38,2.7
0.32,Ideal,H,VVS1,61.9,56.0,936,4.41,4.38,2.72
0.32,Ideal,H,VVS1,61.6,56.0,936,4.41,4.39,2.71
0.32,Ideal,H,VVS1,62.1,54.0,936,4.42,4.4,2.74
0.32,Premium,H,VVS1,60.9,58.0,936,4.43,4.4,2.69
0.32,Ideal,H,VVS1,61.6,55.0,936,4.43,4.4,2.72
0.32,Premium,H,VVS1,62.5,58.0,936,4.37,4.33,2.72
0.32,Ideal,H,VVS1,62.9,57.0,936,4.38,4.33,2.74
0.32,Premium,H,VVS1,62.9,58.0,936,4.37,4.34,2.74
0.32,Premium,H,VVS1,62.7,57.0,936,4.41,4.36,2.75
0.32,Ideal,G,VVS2,61.1,55.0,936,4.45,4.42,2.71
0.32,Ideal,G,VVS2,61.3,56.0,936,4.44,4.43,2.72
0.32,Premium,G,VVS2,60.2,60.0,936,4.45,4.42,2.67
0.32,Ideal,G,VVS2,61.7,57.0,936,4.44,4.41,2.73
0.32,Premium,G,VVS2,60.8,59.0,936,4.44,4.41,2.69
0.32,Ideal,G,VVS2,61.8,55.0,936,4.43,4.41,2.73
0.32,Ideal,G,VVS2,62.2,55.0,936,4.43,4.41,2.75
0.32,Ideal,G,VVS2,60.6,57.0,936,4.43,4.41,2.68
0.32,Ideal,G,VVS2,61.4,55.0,936,4.43,4.4,2.71
0.32,Ideal,G,VVS2,62.0,55.0,936,4.44,4.4,2.74
0.32,Ideal,G,VVS2,61.2,56.0,936,4.42,4.41,2.7
0.32,Ideal,G,VVS2,61.6,55.0,936,4.42,4.41,2.72
0.32,Ideal,G,VVS2,62.4,56.0,936,4.42,4.4,2.75
0.32,Premium,G,VVS2,60.9,61.0,936,4.41,4.39,2.68
0.32,Premium,G,VVS2,62.0,55.0,936,4.42,4.39,2.73
0.32,Ideal,G,VVS2,61.5,57.0,936,4.43,4.39,2.71
0.32,Premium,G,VVS2,61.2,59.0,936,4.44,4.39,2.7
0.32,Ideal,G,VVS2,62.1,57.0,936,4.42,4.4,2.74
0.32,Premium,G,VVS2,61.6,60.0,936,4.4,4.37,2.7
0.32,Premium,G,VVS2,61.7,59.0,936,4.41,4.37,2.71
0.32,Premium,G,VVS2,62.3,54.0,936,4.45,4.38,2.75
0.32,Ideal,G,VVS2,62.2,56.0,936,4.38,4.34,2.71
0.32,Ideal,G,VVS2,62.6,57.0,936,4.38,4.34,2.73
0.32,Premium,G,VVS2,62.6,58.0,936,4.37,4.35,2.73
0.32,Ideal,G,VVS2,62.1,55.0,936,4.38,4.35,2.71
0.32,Premium,G,VVS2,62.3,58.0,936,4.38,4.35,2.72
0.32,Ideal,G,VVS2,62.2,57.0,936,4.38,4.36,2.72
